0,1,2,3,4
荷载组合,挡土墙级别,挡土墙级别,挡土墙级别,挡土墙级别
荷载组合,1,2,3,4
基本组合,1.5,1.4,1.4,1.3
特殊组合,1.4,1.3,1.3,1.2
