0,1,2,3
岩石地基类别,岩石地基类别,抗剪断摩擦系数值,抗剪断粘结力值
硬质岩石,坚硬,1.5~1.3,1.5~1.3
硬质岩石,较坚硬,1.3~1.1,1.3~1.1
软质岩石,较软,1.1~0.9,1.1~0.7
软质岩石,软,0.9~0.7,0.7~0.3
软质岩石,极软,0.7~0.4,0.3~0.05
