0,1,2
计算工况,计算工况,计算内容
正常运用条件,正常运用条件,设计洪水位下的稳定渗流期或不稳定渗流期的背水侧堤坡；设计洪水位骤降期的临水侧堤坡
非常运用条件,非常运用条件Ⅰ,施工期的临水、背水侧堤坡
非常运用条件,非常运用条件Ⅱ,多年平均水位时遭遇地震；其他稀遇荷载的临水、背水侧堤坡
