0,1,2,3,4,5,6
堤防工程级别,堤防工程级别,1,2,3,4,5
安全系数,正常运用条件,1.6,1.55,1.5,1.45,1.4
安全系数,非常运用条件Ⅰ,1.5,1.45,1.4,1.35,1.3
安全系数,非常运用条件Ⅱ,1.4,1.35,1.3,1.25,1.2
