0,1,2,3,4,5,6,7
堤防工程级别,堤防工程级别,堤防工程级别,1,2,3,4,5
安全系数,瑞典圆弧法,正常运用条件,1.3,1.25,1.2,1.15,1.1
安全系数,瑞典圆弧法,非常运用条件Ⅰ,1.2,1.15,1.1,1.05,1.05
安全系数,瑞典圆弧法,非常运用条件Ⅱ,1.1,1.05,1.05,1,1
安全系数,简化毕肖普法,正常运用条件,1.5,1.35,1.3,1.25,1.2
安全系数,简化毕肖普法,非常运用条件Ⅰ,1.3,1.25,1.2,1.15,1.1
安全系数,简化毕肖普法,非常运用条件Ⅱ,1.2,1.15,1.15,1.1,1.05
