0,1,2,3,4,5,6
渗透变形形式,流土型,流土型,流土型,过渡型,管涌型,管涌型
渗透变形形式,土的不均匀系数≤3,3<土的不均匀系数≤5,土的不均匀系数>5,过渡型,级配连续,级配不连续
允许水力比降,0.25~0.35,0.35~0.50,0.50~0.80,0.25~0.40,0.15~0.25,0.10~0.20
