0,1,2
运用条件,最小安全系数,最小安全系数
运用条件,瑞典圆弧法,简化毕肖普法
正常运用条件,1.15,1.25
非常运用条件Ⅰ,1.05,1.15
非常运用条件Ⅱ,1.02,1.1
