0,1,2,3,4,5,6
地基类别,作用组合,计算情况,厂房建筑物级别,厂房建筑物级别,厂房建筑物级别,适用公式
地基类别,作用组合,计算情况,1,2,3,适用公式
非岩基,基本组合,正常运行,1.35,1.3,1.25,抗剪强度公式
非岩基,基本组合,机组检修、施工期,1.2,1.15,1.1,抗剪强度公式
非岩基,偶然组合,非常运行,1.2,1.15,1.1,抗剪强度公式
非岩基,偶然组合,地震,1.1,1.05,1.05,抗剪强度公式
岩基,基本组合,正常运行,3,3,3,抗剪断强度公式
岩基,基本组合,机组检修、施工期,2.5,2.5,2.5,抗剪断强度公式
岩基,偶然组合,非常运行,2.5,2.5,2.5,抗剪断强度公式
岩基,偶然组合,地震,2.3,2.3,2.3,抗剪断强度公式
