0,1,2,3
序号,动荷载种类,动力系数,备注
1,变压器、门机轮压,1.05,
2,起重机竖向轮压,1.05,起重机水平制动不乘动力系数
3,机动车辆轮压,1.2,包括汽车、火车、拖车轮压
4,搬运、装卸重物,1.1~1.3,
5,电动机、通风机,1.2~1.5,
6,水轮发电机竖向、水平动荷载,1.5~2.0,圆筒式机墩取小值，环形梁柱式、构架式机墩取大值
