0,1,2,3,4,5
基底附加应力,变形计算深度范围内地基压缩模量的当量值,变形计算深度范围内地基压缩模量的当量值,变形计算深度范围内地基压缩模量的当量值,变形计算深度范围内地基压缩模量的当量值,变形计算深度范围内地基压缩模量的当量值
基底附加应力,2.5MPa,4.0MPa,7.0MPa,15.0MPa,20.0MPa
对应于作用标准组合时的基础底面处的附加应力大于等于地基承载力标准值,1.4,1.3,1,0.4,0.2
对应于作用标准组合时的基础底面处的附加应力小于等于0.75倍的地基承载力标准值,1.1,1,0.7,0.4,0.2
