0,1,2,3
监测部位,监测对象,开挖面与监测点或监测断面的距离,监测频率
掘进面前方,周围岩土体和周边环境,5D<L≤8D,1次/(3d～5d)
掘进面前方,周围岩土体和周边环境,3D<L≤5D,1次 /(2d)
掘进面前方,周围岩土体和周边环境,L≤3D,1次 /(1d)
掘进面后方,隧道结构、 周围岩土体和周边环境,L≤3D,(1次～2次)/(1d)
掘进面后方,隧道结构、 周围岩土体和周边环境,3D<L≤8D,1次/(1d～2d)
掘进面后方,隧道结构、 周围岩土体和周边环境,L>8D,1次/(3d～7d)
