0,1,2
名称,缺陷描述,缺陷等级
露筋,管片内钢筋未被混凝土包裹而外露,严重缺陷
蜂窝,混凝土表面缺少水泥砂浆而形成石子外露,严重缺陷
孔洞,混凝土中出现深度和最大长度均超过保护层厚度的孔穴,严重缺陷
孔洞,混凝土中有少量深度或最大长度未超过保护层厚度的孔穴,一般缺陷
