0,1,2,3,4
隧道类型,横向贯通测量限差,横向贯通测量限差,横向贯通测量限差,高程贯通测量限差
隧道类型,隧道贯通长度<4,4≤隧道贯通长度<7,7≤隧道贯通长度<10,高程贯通测量限差
地铁隧道,100（mm）,,,50（mm）
公路隧道,100（mm）,150（mm）,200（mm）,70（mm）
铁路隧道,100（mm）,130（mm）,160（mm）,50（mm）
水工隧道,100（mm）,150（mm）,,75（mm）
市政隧道,100（mm）,150（mm）,200（mm）,70（mm）
油气隧道,100（mm）,150（mm）,200（mm）,70（mm）
