0,1,2,3,4,5,6,7,8,9
检验项目,允许偏差,允许偏差,允许偏差,允许偏差,允许偏差,允许偏差,检验方法,检验数量,检验数量
检验项目,地铁隧道,公路隧道,铁路隧道,水工隧道,市政隧道,油气 隧道,检验方法,环数,点数
隧道轴线平面位置,±50,±75,±70,±100,±100,±100,用全站仪测中线,逐环,1点/环
隧道轴线平面位置,±50,±75,±70,±100,±100 （隧道底高程),±100,用水准仪测高程,逐环,1点/环
