0,1,2,3,4,5,6,7,8,9
检验项目,允许偏差,允许偏差,允许偏差,允许偏差,允许偏差,允许偏差,检验方法,检验数量,检验数量
检验项目,地铁隧道,公路隧道,铁路隧道,水工隧道,市政隧道,油气隧道,检验方法,检验数量,检验数量
衬砌环椭圆度 (%。),±6(%。),±8(%。),士6(%。),±10(%。),±8(%。),±8(%。),断面仪、全站 仪测量,10环,None
衬砌环内错台 (mm),10(mm),12(mm),12(mm),15(mm),15(mm),15(mm),尺量,10环,4点/环
衬砌环间错台 (mm),15(mm),17(mm),17(mm),20(mm),20(mm),20(mm),尺量,10环,4点/环
