0,1,2,3,4,5,6,7,8
检验项目,允许偏差,允许偏差,允许偏差,允许偏差,允许偏差,允许偏差,检验方法,检验数量
检验项目,地铁隧道,公路隧道,铁路隧道,水工隧道,市政隧道,油气隧道,检验方法,检验数量
隧道轴线平面位置,±100（mm）,±150（mm）,±120（mm）,±150（mm）,±150（mm）,±150（mm）,用全站仪测中线,10环
隧道轴线高程,±100（mm）,±150（mm）,±120（mm）,±150（mm）,±150（mm）,±150（mm）,用水准仪测高程,10环
