0,1,2,3,4,5,6,7,8,9
检验项目,允许偏差,允许偏差,允许偏差,允许偏差,允许偏差,允许偏差,检验方法,检验数量,检验数量
检验项目,地铁隧道,公路隧道,铁路隧道,水工隧道,市政隧道,油气隧道,检验方法,环数,点数
衬砌环椭圆度 (%),±5,±6,±6,±8,±5,±6,断面仪 全站仪测量,每10 环,None
衬砌环内错台 (mm),5,6,6,8,5,8,尺量,逐环,4点 /环
衬砌环间错台 (mm),6,7,7,9,6,9,尺量,逐环,4点 /环
