0,1
类别,监测项目
必测项目,施工区域地表隆沉、沿线建（构）筑物和地下管线变形
必测项目,隧道结构变形
选测项目,岩土体深层水平位移和分层竖向位移
选测项目,衬砌环内力
选测项目,地层与管片的接触应力
