0,1,2,3,4,5
气候分区 ,混凝土分区或部位,混凝土分区或部位,混凝土分区或部位,混凝土分区或部位,混凝土分区或部位
气候分区 ,水上,水位变化区,水下,基础,抗冲耐磨
严寒和寒冷区,0.5,0.45,0.5,0.5,0.45
温和区,0.55,0.5,0.55,0.55,0.45
