0,1,2,3,4,5
距基岩面高度H,浇筑块长边l,浇筑块长边l,浇筑块长边l,浇筑块长边l,浇筑块长边l
距基岩面高度H,<17m,17~20m,20~30m,30~40m,>40m
0~0.2l,26~25（℃）,25~22（℃）,22~19（℃）,19~16（℃）,16~14（℃）
0.2l~0.4l,28~27（℃）,27~25（℃）,25~22（℃）,22~19（℃）,19~17（℃）
