0,1,2,3,4
荷载组合,荷载组合,建筑物级别,建筑物级别,建筑物级别
荷载组合,荷载组合,1级,2级,3级
按公式 (8.2.5-1),基本,3.5,3.25,3.00 
按公式 (8.2.5-1),特殊（非地震）,3.00 ,2.75,2.5
按公式 (8.2.5-2),基本,None,None,1.3
按公式 (8.2.5-2),特殊（非地震）,None,None,1.1
