0,1,2,3,4,5,6
地震动峰值加速度分区 （g）地震作用,重力加速度的0.05倍,重力加速度的0.1倍,重力加速度的0.15倍,重力加速度的0.2倍,重力加速的0.3倍,重力加速度的0.4倍
E1地震作用,0.02（m）,0.04（m）,0.05（m）,0.07（m）,0.10（m）,0.14（m）
E2地震作用,0.03（m）,0.07（m）,0.10（m）,0.13（m）,0.20（m）,0.27（m）
E3地震作用,0.08（m）,0.15（m）,0.21（m）,0.27（m）,0.35（m）,0.41（m）
