0,1,2
安全等级,破坏后果,盾构隧道类型
一级,很严重,轨道交通、铁路、城市道路、公路、电力行业盾构 隧道； 给水、燃气和城市地下综合管廊盾构隧道； 设计使用年限为100年的排水、热力盾构隧道： 建筑物级别为3级及以上的水工盾构隧道
二级,严重,设计使用年限为50年的排水、热力盾构隧道： 建筑物级别为3级以下的水工盾构隧道
