0,1
隧道功能,盾构隧道
给水,20万人口以上城镇、抗震设防烈度为7度及以上的县及县级市的输水 管线隧道
排水,20万人口以上城镇、抗震设防烈度为7度及以上的县及县级市的污水 干管隧道（含合流）
燃气,20万人口以上城镇、县及县级市的高压和次高压输配气管道隧道
热力,50万人口以上城镇的供热主干线隧道
综合管廊,城市地下综合管廊隧道
交通,高速铁路隧道、城市轨道交通隧道、高速公路隧道、一级公路隧道
