0,1
防水等级,防水标准
一级,不得渗水，结构表面不应有湿渍
二级,顶部不得滴漏，其他部位不得漏水，结构表面可有少量湿渍，总 湿渍面积不应大于总防水面积的2/1000，任意100m²防水面积上的 湿渍不应超过3处，单个湿渍的最大面积不应大于0.2m²；隧道工 程中漏水的平均渗漏量不应大于0.05L/（m2·d），任意100m²防水 面积渗漏量不应大于0.15L/（m²·d）
