0,1
性能要求等级,抗震性能要求
性能要求工,地震作用下，隧道工程不损坏，应能保持其正常使用，结构 处于弹性工作阶段，不影响周围环境和市政设施正常使用
性能要求Ⅱ,地震作用下，隧道工程不损坏或仅需对非重要结构部位进行 一般修理，短期内能恢复其正常使用功能，结构局部进人弹塑 性工作阶段，对周围环境影响轻微，不影响隧道设施正常使用
性能要求Ⅲ,地震作用下，隧道不应出现局部或整体塌，修复后隧道设 施可正常使用，结构处于弹塑性工作阶段，无重大人员伤亡， 对周围环境不产生严重影响，修复后隧道设施可正常使用
