0,1,2,3,4,5,6
螺栓直径,20（mm）,24（mm）,27（mm）,30（mm）,36（mm）,40（mm）
螺栓孔最小处直径,23~26（mm）,27~30（mm）,30~33（mm）,33~36（mm）,39~42（mm）,43~46（mm）
