0,1,2
勘察阶段,勘探孔平面布置,勘探孔深度
可行性 研究勘察,勘探孔间距不宜大于1000m， 且每一工程地质单元均应有勘 探孔,勘探孔深度应满足场地稳定性、 适宜性评价和隧道选线、工法选择 的需要
