0,1
防水等级,适用范围
一级,城市轨道交通车站及机电设备集中区段；高速公路、一级公路 二级公路、城市道路隧道的拱部、边墙、路面、设备箱洞；三级公 路、四级公路隧道的设备箱洞；Ⅰ级铁路隧道，Ⅱ级铁路电化隧道、 车站隧道及机电设备洞室；有冻害地段的Ⅱ级铁路非电化隧道、城 市地下综合管廊
二级,城市轨道交通的区间隧道；电力隧道；高速公路、一级公路、二 级公路、城市道路隧道的车行横通道、人行横通道；三级公路、四级公路隧道；Ⅱ级铁路非电化隧道、隧道内一般洞室；水工隧道； 电力隧道；燃气隧道；热力隧道
