0,1,2,3
项次,降水井类别,土层渗透系数（m/d）,降低水位（m）
1,单层轻型井点,0.1~50（m/d）,3~6（m）
2,多层轻型井点,0.1~50（m/d）,6~12（m）
3,喷射井点,0.1~20（m/d）,8~20（m）
4,电渗井点,<0.1（m/d）,<6（m）
5,管井,1~200（m/d）,>5（m）
6,大口井,1~200（m/d）,5~20（m）
7,辐射井,0.1~20（m/d）,<20（m）
