0,1
类别,限值
收敛变形,≤2%D（错缝拼装）或3%D（通缝拼装），且≤50mm
接缝张开量,≤2mm（岩质地层或周边存在重要建（构）筑物）， 或≤4mm（大断面盾构隧道或位于软土地层），且小于弹性密 封垫的允许张开量
