0,1,2,3,4,5
Ⅱ类场地设计基本地震动峰值位移 umax（m）,场地类别,场地类别,场地类别,场地类别,场地类别
Ⅱ类场地设计基本地震动峰值位移 umax（m）,Ⅰ0,Ⅰ1,Ⅱ,Ⅲ,IV
≤0.03（m）,0.75 ,0.75 ,1.00 ,1.20 ,1.45 
0.07（m）,0.75 ,0.75 ,1.00 ,1.20 ,1.50 
0.1（m）,0.80 ,0.80 ,1. 00,1.25 ,1.55 
0.13（m）,0.85 ,0.85 ,1. 00,1.40 ,1.70 
0.2（m）,0.90 ,0.90 ,1. 00,1.40 ,1.70 
≥0.27（m）,1.00 ,1.00 ,1.00 ,1.40 ,1.70 
