0,1,2,3,4
抗震设防水准,抗震设防水准,抗震设防水准,设防类别,性能要求
地震影响,重现期（年）,50年超越概率,设防类别,性能要求
多遇地震E1,50,63%,重点设防类,I
多遇地震E1,50,63%,标准设防类,I
设防地震E2,475,10%,重点设防类,I
设防地震E2,475,10%,标准设防类,Ⅱ
罕遇地震E3,1600~2475,2%~3%,重点设防类,Ⅱ
罕遇地震E3,1600~2475,2%~3%,标准设防类,Ⅲ
