0,1
类别,参数
地下水,地下水位
地下水,承压水头
地下水,流速、流向
力学性质,地基承载力、无侧限抗压强度
力学性质,黏聚力、内摩擦角
力学性质,压缩模量、回弹模量、压缩系数
力学性质,泊松比
力学性质,静止侧压力系数
力学性质,标贯击数
