0,1,2,3
项次,部位,水力坡降,抗渗等级
1,坝体内部,,W2
2,坝体其他部位按水力坡降考虑时,i<10,W4
2,坝体其他部位按水力坡降考虑时,10≤i<30,W6
2,坝体其他部位按水力坡降考虑时,30≤i<50,W8
2,坝体其他部位按水力坡降考虑时,i≥50,W10
