0,1,2,3
相应水位,坝的级别,坝的级别,坝的级别
相应水位,1级,2级,3级
正常蓄水位,0.7（m）,0.5（m）,0.4（m）
校核洪水位,0. 5（m）,0. 4（m）,0.3（m）
