0,1,2,3,4,5
距离基础面高度h,浇筑块长边L,浇筑块长边L,浇筑块长边L,浇筑块长边L,浇筑块长边L
距离基础面高度h,17m以下,17~20m,20~30m,30~40m,40m至通仓长块
(0~0.2)l,26~25（℃）,25~22（℃）,22~19（℃）,19~16（℃）,16~14（℃）
(0.2~0.4)l,28~27（℃）,27~25（℃）,25~22（℃）,22~19（℃）,19~17（℃）
