0,1,2,3,4
荷载组合,荷载组合,坝的级别,坝的级别,坝的级别
荷载组合,荷载组合,1级,2级,3级
基本组合,基本组合,1.35 ,1.30 ,1.25 
特殊组合,（1）,1.20 ,1.15 ,1.10 
特殊组合,（2）（拟静力法）,1.10 ,1.05 ,1.05 
